stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
14389,126277,1500 E @ 1420 S,1420 S 1500 E & Browning Ave,40.738825,-111.848007,,,,,,0
14390,126278,1500 E @ 1498 S,1498 S 1500 E & Emerson Ave,40.737294,-111.84804,,,,,,0
14391,126279,1500 E @ 1568 S,1568 S 1500 E & Bryan Ave,40.73544,-111.848047,,,,,,1
14392,126722,1500 E @ 1640 S,1640 S 1500 E & 1700 S,40.733776,-111.848065,,,,,,0
14397,126355,1700 E @ 1709 S,,40.733377,-111.842178,,,,,,0
14404,126339,2100 S / 1700 E (WB),1703 E 2100 S & 1700 E,40.725588,-111.842088,,,,,,1
14406,126341,2100 S / 1500 E (WB),1471 E 2100 S & 1500 E,40.725981,-111.848687,,,,,,1
14417,127220,2100 E / 2100 S (SB),2066 S 2100 E & 2100 E,40.725878,-111.830935,,,,,,1
14418,127213,2100 S / 2000 E (EB),1990 E 2100 S & Hollywood Ave,40.725432,-111.834133,,,,,,1
14424,126288,1500 E @ 1569 S,1569 S 1500 E & Bryan Ave,40.735238,-111.847958,,,,,,0
14425,126289,1500 E @ 1505 S,1505 S 1500 E & Bryan Ave,40.737059,-111.847933,,,,,,0
14426,126290,1500 E @ 1429 S,1429 S 1500 E & Bryan Ave,40.738666,-111.84792,,,,,,0
14427,126291,1500 E @ 1381 S,1381 S 1500 E & Bryan Ave,40.739865,-111.847921,,,,,,0
14428,126292,1500 E @ 1305 S,1305 S 1500 E & Bryan Ave,40.741318,-111.847922,,,,,,0
14429,126419,1500 E @ 1151 S,1151 S 1500 E & 900 S,40.743562,-111.847946,,,,,,0
14430,126420,1500 E @ 1051 S,1051 S 1500 E & 900 S,40.74604,-111.847923,,,,,,1
14431,126421,1500 E @ 981 S,981 S 1500 E & 900 S,40.747649,-111.84795,,,,,,1
14432,126422,1525 E @ 901 S,901 S 1525 E & 900 S,40.749602,-111.847089,,,,,,0
14435,126313,900 S / 1100 E (WB),1101 E 900 S & Maywood Dr,40.749865,-111.859223,,,,,,1
14436,126314,900 S / 1000 E (WB),900 S & 991 E,40.749892,-111.862592,,,,,,1
14437,126315,900 S / 900 E (WB),901 E 900 S & Maywood Dr,40.749936,-111.865079,,,,,,1
14438,126316,900 S / 800 E (WB),801 E 900 S & Maywood Dr,40.749861,-111.867912,,,,,,1
14439,126723,900 S / 700 E (WB),900 S & 671 E,40.749885,-111.871708,,,,,,1
14440,126317,900 S / 600 E (WB),900 S & 577 E,40.749885,-111.874289,,,,,,1
14442,126319,900 S / 500 E (WB),900 S & 471 E,40.74988,-111.877403,,,,,,1
14443,126270,900 S / 400 E (WB),900 S & 375 E,40.749882,-111.880042,,,,,,1
14444,126505,900 S / 300 E (WB),900 S & 287 E,40.749876,-111.882873,,,,,,1
14445,126724,900 S / 200 E (WB),900 S & 181 E,40.749875,-111.885735,,,,,,1
14453,155101,Highland Dr @ 5911 S,5911 S Highland Dr & Fardown Ave,40.643714,-111.834903,,,,,,0
14455,155103,Highland Dr @ 5719 S,5719 S Highland Dr & Pheasant Way,40.647351,-111.834873,,,,,,0
14456,155104,Highland Dr @ 5571 S,5571 S Highland Dr & Pheasant Cir,40.649801,-111.834857,,,,,,0
